,encoded,original,regenerated
11482,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11483,"[30 52 40 83 50 60 41 53 40 10 41 42 71 52 40 83 41 49 71 52 40 83 48 60
 41 43]",\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} ), \sum _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
11484,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11485,[40 42 60 48 93 43 53 40 87 41 41 24 60 48 87 93],{( 1 + x )^{r}} \geq 1 + r x, { ( 1 + x ) ^ { r } } \geq 1 + r x
11486,"[ 82  42  71  49  70  43  23  31  29  78  89  88  52  40  70  41  53  40
  71  41  75  42  93  43  73  93  23 108  42  71  49  70  43]",m ( b - a ) \leq \int\limits_{a}^{b} f ( x ) dx \leq M ( b - a ), m ( b - a ) \leq \int \lim i t s _ { a } ^ { b } f ( x ) d x \leq M ( b - a )
11487,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11488,"[40 42 17 40 60 48 40 93 53 40 61 41 41 41 40 60 48 40 94 53 40 61 41 41
 41 43 53 40 89 41 41 23 40 61 53 40 55 89 55 41 41 40 42 60 48 40 42 93
 48 94 43 53 40 61 41 41 43 53 40 55 89 55 41 41]",{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{t}} \leq {2^{| t |}} {( 1 + {( x + y )^{2}} )^{| t |}}, { ( \frac { 1 + { x ^ { 2 } } } { 1 + { y ^ { 2 } } } ) ^ { t } } \leq { 2 ^ { | t | } } { ( 1 + { ( x + y ) ^ { 2 } } ) ^ { | t | } }
11489,"[ 29  52  40  83  35  10  41  42  93  52  40  83  41  56  94  52  40  83
  41  43  50 107  52  40  60  41  56 107  52  40  61  41]",\lim_{n \to \infty} ( x_{n} / y_{n} ) = L_{1} / L_{2}, \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
11490,"[30 52 40 83 50 60 41 53 40 10 41 42 71 52 40 83 41 49 71 52 40 83 48 60
 41 43]",\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} ), \sum _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
11491,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11492,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11493,"[17 40 60 41 40 40 83 53 40 61 41 41 41 23 17 40 60 41 40 83 49 60 41 49
 17 40 60 41 40 83 41]",\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}, \frac { 1 } { { n ^ { 2 } } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n }
11494,"[31 29 78 89 88 52 40 62 41 53 40 65 41 31 29 78 89 88 52 40 61 41 53 40
 63 41 61 73 93 73 94 50 61 19 42 65 49 62 43 19 42 63 49 61 43 50 60 61]",\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12, \int \lim i t s _ { 3 } ^ { 6 } \int \lim i t s _ { 2 } ^ { 4 } 2 d x d y = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 1 2
11495,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11496,[30 52 40 83 50 69 41 53 40 10 41 75 52 40 83 41 42 93 43],\sum_{n = 0}^{\infty} f_{n} ( x ), \sum _ { n = 0 } ^ { \infty } f _ { n } ( x )
11497,"[ 29  52  40  83  35  10  41  42  93  52  40  83  41  56  94  52  40  83
  41  43  50 107  52  40  60  41  56 107  52  40  61  41]",\lim_{n \to \infty} ( x_{n} / y_{n} ) = L_{1} / L_{2}, \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
11498,"[30 52 40 83 50 60 41 53 40 10 41 40 42 17 40 30 52 40 78 50 60 41 53 40
 83 41 70 52 40 78 41 41 40 83 41 43 53 40 85 41 41 46 40 42 17 40 85 41
 40 85 49 60 41 43 53 40 85 41 41 30 52 40 83 50 60 41 53 40 10 41 40 70
 52 40 83 41 53 40 85 41 41]",\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} < {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}, \sum _ { n = 1 } ^ { \infty } { ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } } < { ( \frac { p } { p - 1 } ) ^ { p } } \sum _ { n = 1 } ^ { \infty } { a _ { n } ^ { p } }
11499,"[75 42 93 58 94 43 50 75 52 40 60 41 42 93 94 43 48 75 52 40 61 41 42 17
 40 93 41 40 94 41 43]","f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )"," f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )"
11500,[40 42 60 48 93 43 53 40 87 41 41 24 60 48 87 93],{( 1 + x )^{r}} \geq 1 + r x, { ( 1 + x ) ^ { r } } \geq 1 + r x
11501,[70 52 40 83 41 50 70 52 40 60 41 48 42 83 49 60 43 73],a_{n} = a_{1} + ( n - 1 ) d, a _ { n } = a _ { 1 } + ( n - 1 ) d
11502,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11503,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11504,"[ 93  52  40  60  41  50  17  40  42  60  49  17  40  61  41  40  18  40
 109  49  60  41  41  43 109  41  40 107  41]",x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}, x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
11505,"[31 29 78 89 88 52 40 62 41 53 40 65 41 31 29 78 89 88 52 40 61 41 53 40
 63 41 61 73 93 73 94 50 61 19 42 65 49 62 43 19 42 63 49 61 43 50 60 61]",\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12, \int \lim i t s _ { 3 } ^ { 6 } \int \lim i t s _ { 2 } ^ { 4 } 2 d x d y = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 1 2
11506,[31 29 78 89 88 52 40 70 41 53 40 70 41 75 42 93 43 73 93 50 69],\int\limits_{a}^{a} f ( x ) dx = 0, \int \lim i t s _ { a } ^ { a } f ( x ) d x = 0
11507,"[31 29 78 89 88 52 40 69 41 53 40 60 41 31 29 78 89 88 52 40 69 41 53 40
 60 41 40 93 53 40 61 41 41 40 94 53 40 61 41 41 73 93 73 94]",\int\limits_{0}^{1} \int\limits_{0}^{1} {x^{2}} {y^{2}} dx dy, \int \lim i t s _ { 0 } ^ { 1 } \int \lim i t s _ { 0 } ^ { 1 } { x ^ { 2 } } { y ^ { 2 } } d x d y
11508,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11509,[30 52 40 78 50 69 41 53 40 83 41 83 78 50 40 61 53 40 83 41 41],\sum_{i = 0}^{n} n i = {2^{n}}, \sum _ { i = 0 } ^ { n } n i = { 2 ^ { n } }
11510,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11511,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11512,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11513,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11514,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11515,"[75 42 93 58 94 43 50 75 52 40 60 41 42 93 58 94 43 48 75 52 40 61 41 42
 17 40 93 41 40 94 41 43]","f ( x , y ) = f_{1} ( x , y ) + f_{2} ( \frac{x}{y} )"," f ( x , y ) = f _ { 1 } ( x , y ) + f _ { 2 } ( \frac { x } { y } )"
11516,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11517,"[ 93  52  40  60  41  50  17  40  42  60  49  17  40  61  41  40  18  40
 109  49  60  41  41  43 109  41  40 107  41]",x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}, x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
11518,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11519,"[29 52 40 83 35 10 41 17 40 83 59 41 40 18 40 61 36 83 41 42 17 40 83 41
 40 74 41 43 41 50 60]",\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1, \lim _ { n \to \infty } \frac { n ! } { \sqrt { 2 \pi n } ( \frac { n } { e } ) } = 1
11520,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11521,[29 52 40 93 35 72 41 75 42 93 43 50 75 42 72 43],\lim_{x \to c} f ( x ) = f ( c ), \lim _ { x \to c } f ( x ) = f ( c )
11522,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11523,[30 52 40 83 50 69 41 53 40 10 41 75 52 40 83 41 42 93 43],\sum_{n = 0}^{\infty} f_{n} ( x ), \sum _ { n = 0 } ^ { \infty } f _ { n } ( x )
11524,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11525,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11526,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11527,"[29 52 40 83 35 10 41 17 40 83 59 41 40 18 40 61 36 83 41 42 17 40 83 41
 40 74 41 43 41 50 60]",\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1, \lim _ { n \to \infty } \frac { n ! } { \sqrt { 2 \pi n } ( \frac { n } { e } ) } = 1
11528,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11529,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11530,"[ 93  52  40  60  41  50  17  40  42  60  49  17  40  61  41  40  18  40
 109  49  60  41  41  43 109  41  40 107  41]",x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}, x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
11531,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11532,"[ 29  52  40  83  35  10  41  42  17  40  93  52  40  83  41  41  40  94
  52  40  83  41  41  43  50  17  40 107  52  40  60  41  41  40 107  52
  40  61  41  41]",\lim_{n \to \infty} ( \frac{x_{n}}{y_{n}} ) = \frac{L_{1}}{L_{2}}, \lim _ { n \to \infty } ( \frac { x _ { n } } { y _ { n } } ) = \frac { L _ { 1 } } { L _ { 2 } }
11533,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11534,"[30 52 40 83 50 69 41 53 40 10 41 42 71 52 40 83 41 49 71 52 40 83 48 60
 41 43]",\sum_{n = 0}^{\infty} ( b_{n} - b_{n + 1} ), \sum _ { n = 0 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
11535,"[17 40 64 41 40 93 48 60 41 48 17 40 64 41 40 40 93 53 40 61 41 41 48 93
 41]",\frac{5}{x + 1} + \frac{5}{{x^{2}} + x}, \frac { 5 } { x + 1 } + \frac { 5 } { { x ^ { 2 } } + x }
11536,"[18 44 83 45 40 17 40 83 48 60 41 40 40 42 83 49 60 43 53 40 61 41 41 41
 41]",\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}, \sqrt [ n ] { \frac { n + 1 } { { ( n - 1 ) ^ { 2 } } } }
11537,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11538,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11539,"[31 29 78 89 88 52 40 69 41 53 40 10 41 18 40 93 41 40 74 53 40 49 93 41
 41 73 93 50 17 40 60 41 40 61 41 18 40 36 41]",\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{1}{2} \sqrt{\pi}, \int \lim i t s _ { 0 } ^ { \infty } \sqrt { x } { e ^ { - x } } d x = \frac { 1 } { 2 } \sqrt { \pi }
11540,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11541,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11542,"[75 42 93 58 94 43 50 75 52 40 60 41 42 93 94 43 48 75 52 40 61 41 42 17
 40 93 41 40 94 41 43]","f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )"," f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )"
11543,[91 52 40 72 41 50 91 52 40 72 49 60 41 42 17 40 87 49 72 41 40 72 41 43],v_{c} = v_{c - 1} ( \frac{r - c}{c} ), v _ { c } = v _ { c - 1 } ( \frac { r - c } { c } )
11544,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11545,"[30 52 40 83 50 60 41 53 40 10 41 40 42 17 40 30 52 40 78 50 60 41 53 40
 83 41 70 52 40 78 41 41 40 83 41 43 53 40 85 41 41 46 40 42 17 40 85 41
 40 85 49 60 41 43 53 40 85 41 41 30 52 40 83 50 60 41 53 40 10 41 40 70
 52 40 83 41 53 40 85 41 41]",\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} < {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}, \sum _ { n = 1 } ^ { \infty } { ( \frac { \sum _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } } < { ( \frac { p } { p - 1 } ) ^ { p } } \sum _ { n = 1 } ^ { \infty } { a _ { n } ^ { p } }
11546,[29 52 40 94 35 10 41 94 26 42 17 40 72 41 40 94 41 43 50 72],\lim_{y \to \infty} y \sin ( \frac{c}{y} ) = c, \lim _ { y \to \infty } y \sin ( \frac { c } { y } ) = c
11547,[30 52 40 83 50 69 41 53 40 10 41 75 52 40 83 41 42 93 43],\sum_{n = 0}^{\infty} f_{n} ( x ), \sum _ { n = 0 } ^ { \infty } f _ { n } ( x )
11548,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11549,"[ 82  42  71  49  70  43  23  31  29  78  89  88  52  40  70  41  53  40
  71  41  75  42  93  43  73  93  23 108  42  71  49  70  43]",m ( b - a ) \leq \int\limits_{a}^{b} f ( x ) dx \leq M ( b - a ), m ( b - a ) \leq \int \lim i t s _ { a } ^ { b } f ( x ) d x \leq M ( b - a )
11550,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11551,"[55 31 29 78 89 88 52 40 70 41 53 40 71 41 75 42 93 43 73 93 55 23 31 29
 78 89 88 52 40 70 41 53 40 71 41 55 75 42 93 43 55 73 93]",| \int\limits_{a}^{b} f ( x ) dx | \leq \int\limits_{a}^{b} | f ( x ) | dx, | \int \lim i t s _ { a } ^ { b } f ( x ) d x | \leq \int \lim i t s _ { a } ^ { b } | f ( x ) | d x
11552,"[40 42 93 48 60 43 53 40 83 48 60 41 41 50 42 93 48 60 43 40 42 93 48 60
 43 53 40 83 41 41]",{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}, { ( x + 1 ) ^ { n + 1 } } = ( x + 1 ) { ( x + 1 ) ^ { n } }
11553,"[17 40 60 41 40 40 83 53 40 61 41 41 41 23 17 40 60 41 40 83 49 60 41 49
 17 40 60 41 40 83 41]",\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}, \frac { 1 } { { n ^ { 2 } } } \leq \frac { 1 } { n - 1 } - \frac { 1 } { n }
11554,"[31 29 78 89 88 52 40 69 41 53 40 10 41 75 42 93 43 73 93 50 29 52 40 71
 35 10 41 31 29 78 89 88 52 40 69 41 53 40 71 41 75 42 93 43 73 93]",\int\limits_{0}^{\infty} f ( x ) dx = \lim_{b \to \infty} \int\limits_{0}^{b} f ( x ) dx, \int \lim i t s _ { 0 } ^ { \infty } f ( x ) d x = \lim _ { b \to \infty } \int \lim i t s _ { 0 } ^ { b } f ( x ) d x
11555,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11556,"[40 42 17 40 60 48 40 93 53 40 61 41 41 41 40 60 48 40 94 53 40 61 41 41
 41 43 53 40 89 41 41 23 40 61 53 40 55 89 55 41 41 40 42 60 48 40 42 93
 49 94 43 53 40 61 41 41 43 53 40 55 89 55 41 41]",{( \frac{1 + {x^{2}}}{1 + {y^{2}}} )^{t}} \leq {2^{| t |}} {( 1 + {( x - y )^{2}} )^{| t |}}, { ( \frac { 1 + { x ^ { 2 } } } { 1 + { y ^ { 2 } } } ) ^ { t } } \leq { 2 ^ { | t | } } { ( 1 + { ( x - y ) ^ { 2 } } ) ^ { | t | } }
11557,"[55 31 29 78 89 88 52 40 70 41 53 40 71 41 75 42 93 43 73 93 55 23 31 29
 78 89 88 52 40 70 41 53 40 71 41 55 75 42 93 43 55 73 93]",| \int\limits_{a}^{b} f ( x ) dx | \leq \int\limits_{a}^{b} | f ( x ) | dx, | \int \lim i t s _ { a } ^ { b } f ( x ) d x | \leq \int \lim i t s _ { a } ^ { b } | f ( x ) | d x
11558,[30 52 40 83 50 69 41 53 40 10 41 75 52 40 83 41 42 93 43],\sum_{n = 0}^{\infty} f_{n} ( x ), \sum _ { n = 0 } ^ { \infty } f _ { n } ( x )
11559,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11560,"[101  42  93  58  94  58  95  43  50 102  42  93  58  94  43  48 103  42
  94  58  95  43  48  61  60]","F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 21"," F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 2 1"
11561,"[76 42 93 58 94 43 50 18 44 62 45 40 93 49 94 41 48 18 40 55 93 48 94 55
 41]","g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}"," g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }"
11562,[40 42 60 48 93 43 53 40 87 41 41 24 60 48 87 93],{( 1 + x )^{r}} \geq 1 + r x, { ( 1 + x ) ^ { r } } \geq 1 + r x
11563,"[ 93  52  40  60  41  50  17  40  42  60  49  17  40  61  41  40  18  40
 109  49  60  41  41  43 109  41  40 107  41]",x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}, x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
11564,[77 42 93 58 94 43 50 40 93 53 40 94 48 17 40 60 41 40 94 41 41 41],"h ( x , y ) = {x^{y + \frac{1}{y}}}"," h ( x , y ) = { x ^ { y + \frac { 1 } { y } } }"
11565,[29 52 40 94 35 10 41 94 26 42 17 40 72 41 40 94 41 43 50 72],\lim_{y \to \infty} y \sin ( \frac{c}{y} ) = c, \lim _ { y \to \infty } y \sin ( \frac { c } { y } ) = c
11566,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
11567,"[29 52 40 83 35 10 41 17 40 83 59 41 40 18 40 61 36 83 41 42 17 40 83 41
 40 74 41 43 41 50 60]",\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1, \lim _ { n \to \infty } \frac { n ! } { \sqrt { 2 \pi n } ( \frac { n } { e } ) } = 1
11568,"[17 40 62 93 48 94 41 40 95 41 50 42 17 40 96 49 60 41 40 40 93 53 40 61
 41 41 48 40 94 53 40 61 41 41 41 43]",\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} ), \frac { 3 x + y } { z } = ( \frac { A - 1 } { { x ^ { 2 } } + { y ^ { 2 } } } )
11569,"[31 29 78 89 88 52 40 62 41 53 40 65 41 31 29 78 89 88 52 40 61 41 53 40
 63 41 61 73 93 73 94 50 61 19 42 65 49 62 43 19 42 63 49 61 43 50 60 61]",\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12, \int \lim i t s _ { 3 } ^ { 6 } \int \lim i t s _ { 2 } ^ { 4 } 2 d x d y = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 1 2
11570,[29 52 40 83 35 10 41 17 40 60 41 40 40 83 53 40 85 41 41 41 50 69],\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0, \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0
11571,"[62 40 70 53 40 61 41 41 40 71 53 40 62 41 41 48 64 40 70 53 40 62 41 41
 40 71 53 40 61 41 41 49 17 40 40 70 53 40 64 41 41 40 71 53 40 67 41 41
 41 40 61 41]",3 {a^{2}} {b^{3}} + 5 {a^{3}} {b^{2}} - \frac{{a^{5}} {b^{8}}}{2}, 3 { a ^ { 2 } } { b ^ { 3 } } + 5 { a ^ { 3 } } { b ^ { 2 } } - \frac { { a ^ { 5 } } { b ^ { 8 } } } { 2 }
